Rank,Name,Tag,Role,King Lvl,Trophies,Donated,Received,Fame,Repairs,Last Seen
1,Brommin,#8JJYLYGQ,Elder,13,5515,380,160,2362,104,8m ago
2,Gnasty,#2U9Y8RYC,Co-leader,13,5507,666,455,3828,0,7h ago
3,b-nasty,#29VQVQJUJ,Elder,13,5437,516,40,5408,0,4h ago
4,CB,#2G29LL82L,Co-leader,13,5422,206,240,1950,0,14h ago
5,danimal9387,#29PURCVCU,Co-leader,13,5401,415,600,5928,0,2m ago
6,DirtNastyL0w,#P0JVJYQV,Leader,13,5356,322,350,1806,598,1h ago
7,Conrizzle,#2LLV0L8YY,Member,13,5337,599,531,4775,415,5h ago
8,HERETIC,#9JGL0Y2GR,Member,13,5327,190,170,2598,0,4m ago
9,[==T4yl0r==],#L98GR9V,Elder,13,5036,188,320,1438,0,19h ago
10,Pricein99,#9RJQJ99,Elder,13,4985,343,334,2692,312,18h ago
11,lambflirta,#8JULVVLC,Member,13,4958,666,578,1584,392,41m ago
12,b1rdman93,#99R2VQP2,Elder,13,4944,222,400,2408,280,3h ago
13,HoeyJoey69,#8RGQRQRV,Member,12,4940,8,0,1532,368,34m ago
14,The goat,#2C088JGGQ,Elder,13,4921,411,510,4090,485,11m ago
15,LuXxray,#2PV2JGUGC,Member,11,4916,440,280,1661,349,2d ago
16,SValdez,#2R2P8V0QJ,Elder,13,4906,162,200,0,0,1d ago
17,SuperNaSTy,#PY2Q8UC0U,Member,12,4884,98,280,857,0,1d ago
18,Johnny,#J0Q0UVQ0,Member,11,4861,329,560,1914,319,56m ago
19,mojo,#2J98L0RQY,Member,11,4749,211,240,174,0,13m ago
20,Anthony,#Y2YLQQ8C,Member,12,4697,131,241,438,0,1d ago
21,heckfu,#9CR9J0JU,Member,12,4693,58,10,496,0,2h ago
22,Rayind08,#QV9C0R9L,Member,11,4681,0,0,0,0,1d ago
23,Ice Cube,#L2P0PC0Y,Member,12,4679,26,40,1146,0,1d ago
24,astonium13,#PJUYQ0RQQ,Member,10,4676,0,0,0,0,47m ago
25,B.K.H,#2Y2YJJ02J,Member,10,4614,54,280,0,0,7h ago
26,Clash Trash,#2VC9C82U,Member,12,4611,0,0,796,0,21h ago
27,Falor,#YPU2QJYR,Member,11,4577,0,0,0,0,6d ago
28,GREEKFREAK,#YQGPJYQC9,Member,11,4495,499,120,3404,0,5m ago
29,chikaboomboom,#VC2V20V,Elder,13,4473,0,0,0,0,1w ago
30,savagecoolgirl,#9QYVU0P9Y,Member,10,4404,0,0,0,0,1w ago
31,KySprtRdio,#9Q0GYPCC,Member,13,4383,0,0,0,0,1w ago
32,MEGAKNIGHT 64,#GPRJ0GC02,Member,10,4319,0,0,0,0,6h ago
33,Deeznuts,#8Q0Y2U88,Elder,12,4242,86,0,0,0,2d ago
34,Flying Tortuga,#8G28VRJ9U,Elder,12,4232,146,200,0,0,21h ago
35,Alex9,#PRC2UJ8QL,Member,10,4199,0,0,0,0,2w ago
36,PUBG,#YU9U8Y00R,Member,11,4168,53,80,336,0,1d ago
37,Flying Turtle,#9CRVJCJG,Elder,12,4145,0,0,0,0,2w ago
38,big daddy,#Y2UJVCY9C,Member,10,4109,0,0,0,0,2w ago
39,GEW14,#PVUUJU8P,Elder,13,4022,0,0,0,0,1mo ago
40,Sharma,#2L8V28CYL,Elder,12,4021,0,0,0,0,3w ago
41,Alan,#2GYYCY2V,Member,11,4014,0,0,0,0,2mo ago
42,TheSacko,#VUPRVYLJ,Member,12,4008,0,0,0,0,3w ago
43,RD.Rios,#P98PJR2VJ,Member,10,4008,0,0,0,0,3w ago
44,Jan The Dragon,#2PUJ8VQRC,Elder,13,4006,0,0,0,0,3mo ago
45,Euthimis 8,#YQ8QV0YQ9,Member,10,4006,0,0,0,0,1mo ago
46,Pravis,#LL8VRPJC,Elder,12,4001,0,0,0,0,2mo ago
47,DFrank,#G0QJR0G00,Member,9,4000,0,0,0,0,3w ago
48,little man,#UUV988L,Elder,13,3639,354,560,2407,369,3h ago
